"file" "checksum" "built" "date"
"CODE_OF_CONDUCT.md" "c93c83c630db2fe2462240bf72552548" "site/built/CODE_OF_CONDUCT.md" "2022-08-05"
"LICENSE.md" "b24ebbb41b14ca25cf6b8216dda83e5f" "site/built/LICENSE.md" "2023-04-07"
"config.yaml" "a7ed790c653af1edaa45afebafc9d8c9" "site/built/config.yaml" "2023-09-18"
"index.md" "0ec8f15a096ae7c5c24d7ae2732eafd4" "site/built/index.md" "2023-08-24"
"links.md" "8184cf4149eafbf03ce8da8ff0778c14" "site/built/links.md" "2022-04-22"
"episodes/01-open-practices-for-qualitative-research.md" "eef909c9f15bdb21bd7cdbf0ebfd3c3c" "site/built/01-open-practices-for-qualitative-research.md" "2023-09-18"
"episodes/02-finding-and-using-textual-qualitative-data.md" "87265959ce663bda8cd527f34db3fa3e" "site/built/02-finding-and-using-textual-qualitative-data.md" "2023-09-18"
"episodes/03-qualitative-coding-in-caqdas.md" "b37ae95a4cdeb69ccfa9f46d43134241" "site/built/03-qualitative-coding-in-caqdas.md" "2023-09-18"
"episodes/04-archiving-and-sharing-qualitative-data-and-analysis.md" "96f14270b0d7e7f76dc7c01c6f4c27d9" "site/built/04-archiving-and-sharing-qualitative-data-and-analysis.md" "2023-09-18"
"episodes/05-subject-autonomy-privacy-and-equity-in-open-qualitative-research.md" "f1821333043fb0884dedd3a9f6d01d29" "site/built/05-subject-autonomy-privacy-and-equity-in-open-qualitative-research.md" "2023-09-18"
"instructors/instructor-notes.md" "cae72b6712578d74a49fea7513099f8c" "site/built/instructor-notes.md" "2023-03-16"
"learners/reference.md" "1c7cc4e229304d9806a13f69ca1b8ba4" "site/built/reference.md" "2023-03-16"
"learners/setup.md" "61568b36c8b96363218c9736f6aee03a" "site/built/setup.md" "2023-04-07"
"profiles/learner-profiles.md" "60b93493cf1da06dfd63255d73854461" "site/built/learner-profiles.md" "2022-04-22"
